n,m,d,b,strategy,mean_gap,std_gap
9334,100,1.0,2060,na,24.55999999999999,4.548626166217663
9334,100,1.0,3040,na,27.70999999999999,4.116734142496938
9334,100,1.0,4020,na,24.95999999999999,4.744470465710584
9334,100,1.0,5000,na,25.65999999999999,4.888762624632126
10000,100,1.0,1,na,27.1,4.887739763939974
10000,100,1.0,20,na,26.0,3.1304951684997055
10000,100,1.0,40,na,26.7,4.325505750776434
10000,100,1.0,60,na,27.85,4.829855070289377
10000,100,1.0,80,na,27.15,5.042568789813383
10000,100,1.0,100,na,26.75,2.930443652418521
10000,100,1.0,1080,na,26.2,4.331281565541543
10000,100,1.0,2060,na,26.75,4.109440351191388
10000,100,1.0,3040,na,25.05,4.521891197275759
10000,100,1.0,4020,na,24.5,3.2015621187164243
10000,100,1.0,5000,na,25.3,3.4510867853474796
10,100,1.25,1,cmp,1.1999999999999997,0.45825756949558394
15,100,1.25,1,cmp,1.5500000000000003,0.45825756949558405
25,100,1.25,1,cmp,1.7,0.3840572873934304
25,100,1.25,20,cmp,1.85,0.5385164807134504
39,100,1.25,1,cmp,1.9599999999999997,0.4769696007084728
39,100,1.25,20,cmp,2.0599999999999996,0.5894913061275798
63,100,1.25,1,cmp,2.4199999999999995,0.7399324293474371
63,100,1.25,20,cmp,2.4699999999999998,0.5385164807134504
63,100,1.25,40,cmp,2.6699999999999995,0.6403124237432849
63,100,1.25,60,cmp,2.6699999999999995,0.5567764362830022
100,100,1.25,1,cmp,2.85,0.653834841531101
100,100,1.25,20,cmp,2.85,0.47696960070847283
100,100,1.25,40,cmp,3.05,0.804673846971554
100,100,1.25,60,cmp,2.9,0.5385164807134504
100,100,1.25,80,cmp,3.15,0.47696960070847283
100,100,1.25,100,cmp,3.15,0.7262919523166975
158,100,1.25,1,cmp,3.2700000000000005,0.7262919523166975
158,100,1.25,20,cmp,3.47,0.5894913061275798
158,100,1.25,40,cmp,3.87,0.8645808232895291
158,100,1.25,60,cmp,3.4200000000000004,0.7745966692414834
158,100,1.25,80,cmp,3.8200000000000003,0.7348469228349535
158,100,1.25,100,cmp,3.6700000000000004,0.7664854858377946
251,100,1.25,1,cmp,4.139999999999999,0.6538348415311009
251,100,1.25,20,cmp,4.4399999999999995,1.0712142642814275
251,100,1.25,40,cmp,4.089999999999999,0.6633249580710798
251,100,1.25,60,cmp,4.139999999999999,0.8529361054615989
251,100,1.25,80,cmp,4.039999999999999,0.9733961166965892
251,100,1.25,100,cmp,4.089999999999999,0.6633249580710798
398,100,1.25,1,cmp,4.5699999999999985,0.9733961166965892
398,100,1.25,20,cmp,4.869999999999999,1.1521718621802912
398,100,1.25,40,cmp,4.719999999999999,0.714142842854285
398,100,1.25,60,cmp,4.919999999999999,1.1789826122551597
398,100,1.25,80,cmp,4.919999999999999,1.3
398,100,1.25,100,cmp,4.619999999999999,0.8602325267042626
630,100,1.25,1,cmp,5.300000000000001,0.9695359714832659
630,100,1.25,20,cmp,5.65,1.243985530462473
630,100,1.25,40,cmp,5.6000000000000005,1.1357816691600549
